@relation Protein
@attribute Feature1 real
@attribute Feature2 real
@attribute Feature3 real
@attribute Feature4 real
@attribute Feature5 real
@attribute Feature6 real
@attribute Feature7 real
@attribute Feature8 real
@attribute Feature9 real
@attribute Feature10 real
@attribute Feature11 real
@attribute Feature12 real
@attribute Feature13 real
@attribute Feature14 real
@attribute Feature15 real
@attribute Feature16 real
@attribute Feature17 real
@attribute Feature18 real
@attribute Feature19 real
@attribute Feature20 real
@attribute Feature21 real
@attribute Feature22 real
@attribute Feature23 real
@attribute Feature24 real
@attribute Feature25 real
@attribute Feature26 real
@attribute Feature27 real
@attribute Feature28 real
@attribute Feature29 real
@attribute Feature30 real
@attribute Feature31 real
@attribute Feature32 real
@attribute Feature33 real
@attribute Feature34 real
@attribute Feature35 real
@attribute Feature36 real
@attribute Feature37 real
@attribute Feature38 real
@attribute Feature39 real
@attribute Feature40 real
@attribute Feature41 real
@attribute Feature42 real
@attribute Feature43 real
@attribute Feature44 real
@attribute Feature45 real
@attribute class {0,1}
@data
0.056,0.34,0.47,0.56,0.42,0.61,0.64,0.53,0.56,0.53,0.3444698773448773,0.4100000000000001,0.44,0.59,0.56,0.47,0.57,0.59,0.62,0.57,0.051560217560217565,0.37,0.52,0.62,0.6,0.44,0.49,0.53,0.48,0.43,0.63,0.68,0.75,0.7,0.75,0.82,0.56,0.75,0.51,0.6973164861612515,0.8,0.72,0.76,0.69,0.6,1
0.24608666333666332,0.34,0.65,0.64,0.74,0.81,0.72,0.71,0.7,0.71,0.24608666333666332,0.58,0.8,0.79,0.83,0.78,0.82,0.87,0.77,0.75,0.24608666333666332,0.63,0.63,0.78,0.81,0.85,0.78,0.8,0.73,0.73,0.67,0.48,0.65,0.74,0.58,0.5,0.63,0.82,0.88,0.49999999999999994,0.81,0.79,0.75,0.7,0.57,1
0.6266796536796536,0.4,0.59,0.56,0.54,0.57,0.6,0.52,0.42,0.51,0.6928482350982351,0.47,0.53,0.66,0.55,0.53,0.57,0.65,0.53,0.68,0.7748872180451127,0.43,0.62,0.67,0.63,0.71,0.6,0.56,0.67,0.63,0.88,0.7,0.74,0.83,0.46,0.82,0.6,0.67,0.66,0.6094223826714802,0.69,0.74,0.7,0.65,0.85,1
0.996,0.59,0.41,0.54,0.46,0.51,0.51,0.51,0.58,0.56,1.0,0.6166666666666667,0.48,0.55,0.42,0.41,0.39,0.46,0.56,0.48,1.0,0.49,0.44,0.36,0.4,0.42,0.53,0.54,0.41,0.53,0.52,0.57,0.7,0.59,0.47,0.54,0.43,0.5,0.56,0.5808904933814683,0.72,0.46,0.48,0.64,0.58,1
0.6467460317460318,0.77,0.72,0.73,0.79,0.69,0.7,0.56,0.52,0.53,0.8721428571428571,0.72,0.65,0.75,0.76,0.63,0.71,0.57,0.54,0.66,0.6755917946432654,0.55,0.61,0.74,0.83,0.56,0.64,0.5,0.63,0.64,0.6,0.3,0.62,0.71,0.25,0.63,0.44,0.6,0.55,0.5420096269554755,0.72,0.84,0.74,0.77,0.7,1
0.49075595238095227,0.71,0.75,0.73,0.78,0.82,0.64,0.76,0.74,0.75,0.4958333333333331,0.518,0.78,0.74,0.71,0.76,0.84,0.83,0.75,0.68,0.3417261904761905,0.51,0.41,0.41,0.51,0.84,0.79,0.71,0.62,0.67,0.9,0.88,0.87,0.82,0.89,0.5,0.79,0.84,0.79,0.8337665463297231,0.75,0.61,0.69,0.7,0.87,1
0.9307142857142857,0.57,0.65,0.71,0.74,0.69,0.7,0.65,0.69,0.56,0.9466666666666667,0.6608333333333334,0.72,0.71,0.73,0.7,0.61,0.57,0.6,0.61,0.98,0.42,0.68,0.68,0.73,0.69,0.62,0.57,0.55,0.59,0.72,0.55,0.7,0.59,0.45,0.63,0.46,0.71,0.51,0.882129963898917,0.69,0.67,0.68,0.67,0.72,1
0.27225396825396825,0.61,0.41,0.62,0.59,0.62,0.53,0.63,0.62,0.67,0.40734615384615386,0.56,0.59,0.57,0.53,0.58,0.58,0.62,0.61,0.7,0.255991674991675,0.68,0.54,0.61,0.65,0.71,0.63,0.62,0.64,0.57,0.85,0.83,0.86,0.85,0.86,0.96,0.91,0.86,0.96,0.8630806257521059,0.84,0.92,0.98,0.96,0.84,1
0.6805238095238095,0.89,0.48,0.7,0.68,0.67,0.64,0.64,0.72,0.67,0.6795238095238096,0.82,0.69,0.69,0.68,0.6,0.78,0.63,0.73,0.77,0.8097621545121544,0.87,0.62,0.66,0.62,0.64,0.67,0.75,0.61,0.73,0.92,0.95,0.91,0.71,0.71,0.93,0.68,0.87,0.97,0.8338026474127559,0.74,0.97,0.92,0.95,0.87,1
0.8866666666666667,0.83,0.9,0.85,0.88,0.86,0.84,0.85,0.89,0.87,0.8586392773892775,0.74,0.87,0.81,0.69,0.86,0.64,0.82,0.71,0.68,0.8158333333333333,0.7,0.74,0.8,0.74,0.86,0.78,0.7,0.78,0.75,0.89,0.82,0.79,0.7,0.88,0.78,0.93,0.89,0.93,0.6774849578820699,0.75,0.95,0.97,0.92,0.88,1
0.7188397435897436,0.66,0.6,0.59,0.74,0.73,0.7,0.76,0.66,0.66,0.716478354978355,0.6595,0.68,0.64,0.65,0.67,0.57,0.56,0.7,0.64,0.734992340992341,0.81,0.58,0.59,0.59,0.68,0.69,0.51,0.71,0.65,0.58,0.8,0.61,0.62,0.37,0.63,0.47,0.76,0.72,0.6197713598074609,0.59,0.65,0.7,0.68,0.57,1
0.37757777353365596,0.7,0.75,0.66,0.51,0.65,0.66,0.66,0.72,0.74,0.7701999030113783,0.47,0.55,0.65,0.55,0.54,0.47,0.59,0.59,0.52,0.7599642857142856,0.565,0.75,0.76,0.68,0.69,0.78,0.7,0.74,0.58,0.68,0.75,0.76,0.68,0.82,0.62,0.82,0.72,0.69,0.7267268351383875,0.58,0.93,0.94,0.94,0.83,1
0.7711309523809523,0.56,0.7,0.67,0.64,0.66,0.68,0.59,0.66,0.59,0.7711309523809523,0.34,0.54,0.52,0.57,0.61,0.7,0.59,0.58,0.67,0.6754967532467533,0.4,0.41,0.51,0.7,0.56,0.63,0.53,0.6,0.54,0.57,0.53,0.73,0.84,0.86,0.8,0.73,0.67,0.6,0.610060168471721,0.6,0.8,0.83,0.81,0.87,1
1.0,0.44,0.47,0.64,0.69,0.74,0.52,0.62,0.54,0.5,1.0,0.67,0.57,0.66,0.59,0.58,0.55,0.52,0.58,0.48,1.0,0.65,0.5,0.62,0.62,0.51,0.54,0.55,0.53,0.62,0.51,0.39,0.68,0.44,0.44,0.66,0.78,0.57,0.46,0.5122864019253913,0.66,0.81,0.88,0.83,0.72,1
