@relation RSN
@attribute F1 numeric
@attribute F2 {1,2,3,4}
@attribute F3 {1,2,3}
@attribute F4 {1,2}
@attribute F5 {1,2,3,4,5,6,7,8,9,10}
@attribute F6 numeric
@attribute pStage {1,2,3,4,5}
@attribute F8 {1,2,3,4,5,6,7,8,9}
@attribute F9 {1,2}
@attribute F10 {1,2}
@attribute F11 {1,2}
@attribute F12 {1,2}
@attribute F13 numeric
@attribute F14 numeric
@attribute F15 numeric
@attribute F16 numeric
@attribute BMI numeric
@attribute F18 {1,2,3}
@attribute F19 {1,2,3}
@attribute F20 {1,2,3}
@attribute class {1,2}
@data
49,1,1,2,2,2,1,1,1,1,2,1,3,3,2,2,3,2,2,2,1
50,1,3,2,9,11,5,9,2,2,2,2,1,1,1,1,4,2,2,2,1
81,3,1,2,9,11,1,5,2,2,2,2,1,1,1,1,3,1,2,2,1
44,1,1,1,3,2,1,1,1,1,2,1,2,3,2,2,2,1,2,2,1
67,3,3,2,9,11,5,9,2,2,2,2,1,1,1,1,4,2,2,2,1
47,2,1,2,3,2,3,1,1,1,2,1,2,2,1,1,3,1,2,2,1
63,2,2,1,9,10,1,1,2,2,2,2,1,1,1,1,3,2,2,2,1
52,1,1,2,2,2,1,1,1,1,2,1,3,2,3,3,2,2,2,2,1
60,1,1,2,9,2,5,9,2,2,2,1,1,1,1,1,4,2,2,3,2
60,4,3,2,6,11,5,6,2,2,2,1,1,1,1,1,2,1,2,1,1
57,1,1,1,9,2,5,9,2,2,2,1,1,1,1,1,4,2,2,2,1
58,1,3,2,9,11,5,9,2,2,2,1,1,1,1,1,4,3,3,3,1
51,3,1,1,10,10,5,1,2,2,2,2,1,1,1,1,4,2,2,2,1
51,3,1,1,10,10,5,1,2,2,2,2,1,1,1,1,4,2,2,2,1
49,1,1,2,2,11,2,9,1,1,2,1,1,1,1,1,4,2,2,2,2
48,3,1,1,1,2,1,1,2,2,2,2,1,1,1,1,4,3,3,3,1
59,3,1,2,1,2,1,1,2,2,2,2,1,1,1,1,3,2,2,2,1
47,2,2,2,2,2,1,1,2,2,2,2,1,1,1,1,2,2,2,2,2
