@relation RNUM
@attribute F1 numeric
@attribute F6 numeric
@attribute F13 numeric
@attribute F14 numeric
@attribute F15 numeric
@attribute F16 numeric
@attribute BMI numeric
@attribute class {1,2}
@data
40,2,2,2,1,1,2,2
70,2,1,1,1,1,3,1
59,2,1,1,1,1,2,1
76,2,1,1,1,1,4,1
81,2,1,1,1,1,4,2
74,2,1,1,1,1,4,1
50,2,3,2,3,3,3,1
58,2,2,2,2,2,4,1
42,2,3,3,2,2,3,2
43,11,1,1,1,1,4,1
67,2,2,2,1,1,3,2
55,2,1,1,1,1,4,2
63,11,1,1,1,1,4,1
64,11,1,1,1,1,4,1
54,2,1,1,1,1,4,2
65,10,1,1,1,1,4,1
78,10,1,1,1,1,4,1
52,11,1,1,1,1,4,1
76,2,2,2,1,1,4,1
50,11,1,1,1,1,4,2
55,2,1,1,1,1,3,1
50,10,1,1,1,1,4,1
81,2,1,1,1,1,4,1
81,7,1,1,1,1,4,1
61,2,1,1,1,1,3,1
91,11,1,1,1,1,4,2
81,11,1,1,1,1,4,1
80,2,1,1,1,1,4,2
58,11,1,1,1,1,4,1
59,2,1,1,1,1,2,1
48,2,1,1,1,1,3,1
68,10,1,1,1,1,3,2
53,2,1,1,1,1,3,2
70,2,1,1,1,1,2,1
70,2,1,1,1,1,2,1
67,2,1,1,1,1,3,1
68,11,1,1,1,1,4,2
28,2,1,1,1,1,3,1
50,2,1,1,1,1,4,1
63,2,2,2,2,2,4,1
57,2,1,1,1,1,4,1
47,2,1,1,1,1,4,2
42,10,1,1,1,1,4,2
51,11,3,3,2,2,4,1
39,2,3,3,3,3,4,1
24,10,1,1,1,1,4,1
43,2,2,2,2,2,4,2
64,11,1,1,1,1,4,1
69,2,1,1,1,1,4,1
59,2,3,2,3,3,3,1
75,2,1,1,1,1,2,1
55,11,1,1,1,1,4,1
51,2,1,1,1,1,2,1
48,2,1,1,1,1,3,1
49,11,1,1,1,1,4,1
56,11,1,1,1,1,4,1
52,10,1,1,1,1,3,2
81,2,1,1,1,1,4,1
53,2,1,1,1,1,2,2
63,2,1,1,1,1,3,1
62,2,1,1,1,1,3,1
47,2,1,1,1,1,2,1
69,2,1,1,1,1,3,1
66,2,1,1,1,1,3,1
56,2,1,1,1,1,3,1
55,2,1,1,1,1,2,1
58,2,1,1,1,1,2,1
73,2,2,2,2,2,3,1
53,11,1,1,1,1,4,1
47,2,3,3,2,2,4,1
78,2,1,1,1,1,3,1
55,2,2,2,2,2,2,1
66,2,1,1,1,1,1,1
36,2,1,1,1,1,4,2
56,2,1,1,1,1,4,1
68,2,2,2,3,1,4,1
41,2,1,1,1,1,3,1
47,2,3,2,3,3,2,1
75,11,1,1,1,1,4,2
44,2,2,2,2,2,2,1
76,2,1,1,1,1,3,1
56,2,1,1,1,1,3,1
43,10,1,1,1,1,4,1
36,11,1,1,1,1,4,1
68,11,3,3,3,1,4,2
46,11,3,2,2,2,4,1
39,2,1,1,1,1,4,1
66,11,1,1,1,1,2,1
79,10,1,1,1,1,4,1
60,7,1,1,1,1,3,1
68,2,1,1,1,1,4,1
48,2,1,1,1,1,3,2
79,10,1,1,1,1,3,2
46,2,1,1,1,1,4,1
78,2,1,1,1,1,4,1
59,2,1,1,1,1,2,1
80,2,1,1,1,1,3,1
62,2,1,1,1,1,1,1
47,2,1,1,1,1,2,2
60,2,1,1,1,1,3,1
44,2,3,3,2,2,2,1
47,2,2,3,2,2,2,2
77,2,1,1,1,1,4,1
57,2,3,3,3,3,1,2
43,11,1,1,1,1,4,1
40,2,2,3,3,3,3,1
41,6,1,1,1,1,4,1
64,4,1,1,1,1,4,1
55,2,1,1,1,1,4,1
65,10,1,1,1,1,3,1
45,2,1,1,1,1,4,2
83,2,1,1,1,1,4,1
60,2,1,1,1,1,2,2
66,2,1,1,1,1,3,1
83,2,1,1,1,1,4,1
42,9,3,3,3,3,3,2
58,2,1,1,1,1,3,1
48,2,1,1,1,1,4,1
48,2,2,2,1,1,3,2
46,2,1,1,1,1,2,1
77,2,1,1,1,1,3,1
81,11,1,1,1,1,4,1
55,2,2,2,2,2,3,1
64,2,1,1,1,1,3,2
52,11,1,1,1,1,4,2
51,11,3,3,3,3,3,1
56,11,1,1,1,1,4,1
61,2,2,2,3,1,3,1
53,2,3,3,3,3,4,2
57,2,3,3,3,3,2,2
46,2,1,1,1,1,4,1
43,2,2,2,2,2,4,2
48,11,1,1,1,1,4,1
57,2,1,1,1,1,2,1
45,2,1,1,1,1,3,1
55,2,1,1,1,1,2,1
48,2,1,1,1,1,4,1
60,2,2,2,3,3,2,1
56,11,1,1,1,1,4,2
44,2,3,3,3,3,4,1
45,2,1,1,1,1,4,2
65,2,1,1,1,1,4,1
43,2,1,1,1,1,4,2
46,2,1,1,1,1,2,1
62,2,1,1,1,1,4,1
48,2,1,1,1,1,4,2
45,2,1,1,1,1,1,1
78,2,3,3,3,3,3,1
45,2,1,1,1,1,3,2
75,9,3,2,1,1,4,2
47,11,1,1,1,1,4,1
58,2,2,2,1,1,4,2
76,11,1,1,1,1,4,1
67,2,1,1,1,1,4,2
75,2,1,1,1,1,4,2
77,10,1,1,1,1,4,1
48,2,1,1,1,1,4,1
47,2,1,1,1,1,3,1
44,2,2,3,3,3,3,2
46,2,1,1,1,1,3,2
85,2,1,1,1,1,3,2
76,11,1,1,1,1,4,1
55,2,1,1,1,1,2,1
44,2,1,1,1,1,4,2
69,2,3,3,3,3,3,2
51,2,1,1,1,1,2,2
52,2,2,2,2,2,2,1
68,11,1,1,1,1,2,1
37,2,1,1,1,1,3,2
52,2,1,1,1,1,3,1
67,2,2,2,2,2,3,1
81,11,1,1,1,1,4,1
78,10,1,1,1,1,4,1
